product_name,product_price,product_link,product_technical_info
iPhone 17 Pro 256GB | Chính hãng,N/A,https://cellphones.com.vn/iphone-17-pro.html,N/A
iPhone 17 Pro Max 256GB | Chính hãng,489.000đ,https://cellphones.com.vn/iphone-17-pro-max.html,"Kích thước màn hình, 6.9 inches, Công nghệ màn hình, Super Retina XDR, Camera sau, Chính: 48MP khẩu độ ƒ/1.6 OIS hỗ trợ chụp 24MP hoặc 48MP, Góc Siêu Rộng: 48MP khẩu độ ƒ/2.2 góc nhìn 120°, Telephoto: 48MP khẩu độ ƒ/2.8 OIS zoom quang học lên đến 8x, Camera trước, Camera 18MP Center Stage Khẩu độ ƒ/1.9, Chipset, Chip A19 Pro, Công nghệ NFC, Có, Bộ nhớ trong, 256 GB, Thẻ SIM, Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim, Hệ điều hành, iOS 26, Độ phân giải màn hình, 2868 x 1320 pixels, Tính năng màn hình, Màn hình Luôn Bật, ProMotion 120Hz, HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng 1000 nit (tiêu chuẩn), 1600 nit (HDR), 3000 nit (ngoài trời) / tối thiểu 1 nit, Lớp phủ kháng dầu, Chống phản chiếu, Hỗ trợ đa ngôn, Loại CPU, CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện, Tương thích, Tương thích với thiết bị trợ thính"
iPhone 17 256GB | Chính hãng,489.000đ,https://cellphones.com.vn/iphone-17-256gb.html,"Kích thước màn hình, 6.3 inches, Công nghệ màn hình, Super Retina XDR OLED, Camera sau, 48MP Fusion Main f/1.6 OIS, 12MP Tele 2x f/1.6 OIS, 48MP Ultra Wide f/2.2 120°, Camera trước, 18MP Center Stage, f/1.9, PDAF, Chipset, Apple A19, Công nghệ NFC, Có, Bộ nhớ trong, 256 GB, Pin, Xem video: 30 giờ, Xem video trực tuyến: 27 giờ, Thẻ SIM, Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim, Hệ điều hành, iOS 26, Độ phân giải màn hình, 2622 x 1206 pixels, Tính năng màn hình, Dynamic Island, Màn hình luôn bật, HDR, 460 ppi, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng 1000 nit (typ), Đỉnh 1600 nit (HDR), Đỉnh 3000 nit (ngoài trời), Lớp phủ chống vân tay, chống phản chi, Loại CPU, 6 lõi (2 hiệu năng + 4 tiết kiệm điện)"
Điện thoại iPhone 16 Pro Max 256GB,1.080.000đ,https://cellphones.com.vn/iphone-16-pro-max.html,"Kích thước màn hình, 6.9 inches, Công nghệ màn hình, Super Retina XDR OLED, Camera sau, Camera chính: 48MP, f/1.78, 24mm, 2µm, chống rung quang học dịch chuyển cảm biến thế hệ thứ hai, Focus Pixels 100%, Telephoto 2x 12MP: 52 mm, ƒ/1.6, Camera góc siêu rộng: 48MP, 13 mm,ƒ/2.2 và trường ảnh 120°, Hybrid Focus Pixels, ảnh có độ phân giải, Camera trước, 12MP, ƒ/1.9, Tự động lấy nét theo pha Focus Pixels, Chipset, Apple A18 Pro, Công nghệ NFC, Có, Dung lượng RAM, 8 GB, Bộ nhớ trong, 256 GB, Thẻ SIM, Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim, Hệ điều hành, iOS 18, Độ phân giải màn hình, 2868 x 1320 pixels, Tính năng màn hình, Dynamic Island, Màn hình Luôn Bật, Công nghệ ProMotion với tốc độ làm mới thích ứng lên đến 120Hz, Màn hình HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Loại CPU, CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi hiệu suất, Tương thích, Tương Thích Với Thiết Bị Trợ Thính"
iPhone Air 256GB | Chính hãng,489.000đ,https://cellphones.com.vn/iphone-air-256gb.html,"Kích thước màn hình, 6.5 inches, Công nghệ màn hình, Super Retina XDR, Camera sau, 48MP Fusion Main f/1.6, Camera trước, 18MP Center Stage f/1.6, Chipset, Chip A19 Pro, Công nghệ NFC, Có, Bộ nhớ trong, 256 GB, Pin, Xem video: 27 giờ, Xem video trực tuyến: 22 giờ, Thẻ SIM, 2 eSIM, Hệ điều hành, iOS 26, Độ phân giải màn hình, 2736 x 1260 pixels, Tính năng màn hình, Dynamic Island, Màn hình luôn bật, HDR, 460 ppi, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng 1000 nit (typ), Đỉnh 1600 nit (HDR), Đỉnh 3000 nit (ngoài trời), Lớp phủ chống vân tay, chống phản chi, Loại CPU, 6 lõi (2 hiệu năng + 4 tiết kiệm điện)"
iPhone 15 128GB | Chính hãng VN/A,200.000đ,https://cellphones.com.vn/iphone-15.html,"Kích thước màn hình, 6.1 inches, Công nghệ màn hình, Super Retina XDR OLED, Camera sau, Chính 48 MP & Phụ 12 MP, Camera trước, 12MP, ƒ/1.9, Chipset, Apple A16 Bionic 6 nhân, Công nghệ NFC, Có, Dung lượng RAM, 6 GB, Bộ nhớ trong, 128 GB, Pin, 3349 mAh, Thẻ SIM, 2 SIM (nano‑SIM và eSIM), Hệ điều hành, iOS 17, Độ phân giải màn hình, 2556 x 1179 pixels, Tính năng màn hình, Dynamic Island, HDR display, True Tone, Wide color (P3), Haptic Touch, Lớp phủ oleophobia chống dấu vân tay, Độ sáng tối đa: 2000 nits, Mặt kính cảm ứng: Kính cường lực Ceramic Shield, Tần số quét 60 Hz, Loại CPU, CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện"
iPhone 17e 256GB | Chính hãng,489.000đ,https://cellphones.com.vn/iphone-17e.html,"Kích thước màn hình, 6.1 inches, Công nghệ màn hình, Super Retina XDR, Camera sau, 48MP, ƒ/1.6, Telephoto 2x: 12MP, ƒ/1.6, Camera trước, 12MP, ƒ/1.9, Chipset, Apple A19, Công nghệ NFC, Có, Bộ nhớ trong, 256 GB, Pin, Xem video: 26 giờ, Xem video trực tuyến: 21 giờ, Thẻ SIM, 2 SIM (nano‑SIM và eSIM), Hệ điều hành, iOS 26, Độ phân giải màn hình, 2532 x 1170 pixels, Tính năng màn hình, HDR, 460 ppi, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng 800 nit (tiêu chuẩn), Độ sáng đỉnh: 1200 nit (HDR), Loại CPU, 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện"
iPhone 16e 128GB | Chính hãng VN/A,200.000đ,https://cellphones.com.vn/iphone-16e.html,"Kích thước màn hình, 6.1 inches, Công nghệ màn hình, Super Retina XDR, Camera sau, Hệ thống camera 2 trong 1, Fusion 48MP: 26 mm, khẩu độ ƒ/1.6, chống rung quang học, Hybrid Focus Pixels, ảnh có độ phân giải siêu cao (24MP và 48MP), Đồng thời hỗ trợ Telephoto 2x 12MP: 52 mm, khẩu độ ƒ/1.6, chống rung quang học, Hybrid Focus Pixels, Camera trước, Camera 12MP Khẩu độ ƒ/1.9, Camera TrueDepth hỗ trợ nhận diện khuôn mặt, Chipset, Chip A18, Công nghệ NFC, Có, Bộ nhớ trong, 128 GB, Pin, Thời gian xem video Lên đến 26 giờ, Thời gian xem video (trực tuyến) Lên đến 21 giờ, Thời gian nghe nhạc Lên đến 90 giờ, Thẻ SIM, Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim, Hệ điều hành, iOS 18, Độ phân giải màn hình, 2532 x 1170 pixels, Tính năng màn hình, Màn hình HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1 (tiêu chuẩn), Độ sáng tối đa 800 nit (tiêu chuẩn); độ sáng đỉnh 1200 nit (HDR), Lớp phủ kháng dầu chống in dấu vân tay, Thu Phóng Màn Hình, Loại CPU, CPU 6 lõi mới với 2 lõi hiệu năng và 4 lõi tiết kiệm điện, Tương thích, Sạc USB-C, Sạc không dây (tương thích sạc không dây Qi lên đến 7.5W)"
iPhone 17 Pro Max 512GB | Chính hãng,489.000đ,https://cellphones.com.vn/iphone-17-pro-max-512gb.html,"Kích thước màn hình, 6.9 inches, Công nghệ màn hình, Super Retina XDR, Camera sau, Chính: 48MP khẩu độ ƒ/1.6 OIS hỗ trợ chụp 24MP hoặc 48MP, Góc Siêu Rộng: 48MP khẩu độ ƒ/2.2 góc nhìn 120°, Telephoto: 48MP khẩu độ ƒ/2.8 OIS zoom quang học lên đến 8x, Camera trước, Camera 18MP Center Stage Khẩu độ ƒ/1.9, Chipset, Chip A19 Pro, Công nghệ NFC, Có, Bộ nhớ trong, 512 GB, Hệ điều hành, iOS 26, Độ phân giải màn hình, 2868 x 1320 pixels, Tính năng màn hình, Màn hình Luôn Bật, ProMotion 120Hz, HDR, True Tone, Dải màu rộng (P3), Haptic Touch, Tỷ lệ tương phản 2.000.000:1, Độ sáng 1000 nit (tiêu chuẩn), 1600 nit (HDR), 3000 nit (ngoài trời) / tối thiểu 1 nit, Lớp phủ kháng dầu, Chống phản chiếu, Hỗ trợ đa ngôn, Loại CPU, CPU 6 lõi với 2 lõi hiệu năng và 4 lõi tiết kiệm điện, Tương thích, Tương thích với thiết bị trợ thính"
iPhone 16 Pro 128GB | Chính hãng VN/A,N/A,https://cellphones.com.vn/iphone-16-pro.html,N/A
